g_egżółka;ż;1
ho_y;ż;1
rzeżucha;rz;1
sk_wka;u;1
sufra_ystka;ż;1
pr_szyć;ó;1
m_awka;ż;1
po_eczka;rz;1
po_yczka;ż;1
_adko;rz;1
_aden;ż;1
wzdł_ż;u;1
z_ańbiony;h;1
bła_y;h;1
o_ydny;h;1
bo_ater;h;1
czy_ać;h;1
wa_ać;h;1
ża_yć;rz;1
gara_;ż;1
_amulec;h;1
_iacynt;h;1
p_łnoc;ó;1
poł_dnie;u;1
p_łbut;ó;1
p_źno;ó;1
równie_;ż;1
up_r;ó;1
_ołd;h;1
wie_owiec;ż;1
fil_armonia;h;1
odwil_;ż;1
jałm_żna;u;1
niepo_amowany;h;1
_wcześnie;ó;1
o_ywienie;ż;1
kr_tki;ó;1
_erbatnik;h;1
_łopiec;ch;1
b_jka;ó;1
c_kier;u;1
n_żka;ó;1
po_ar;ż;1
sur_wka;ó;1
sz_sty;ó;1
b_zoza;rz;1
mę_czyzna;ż;1
_uligan;ch;1
mięso_erny;ż;1
p_erażenie;rz;1
wkr_tce;ó;1
wzdłu_;ż;1
kątomie_;rz;1
niepo_ądek;rz;1
niep_yjaciel;rz;1
doj_ały;rz;1
_ymn;h;1
wr_bel;ó;1
ł_żko;ó;1
temper_wka;ó;1
_uragan;h;1
_ałas;h;1
si_dmy;ó;1
tr_jka;ó;1
stal_wka;ó;1
g_rnik;ó;1
_arówka;ż;1
pr_chno;ó;1
c_rka;ó;1
r_żnica;ó;1
d_em;ż;1
oł_wek;ó;1
dop_ki;ó;1
_aszcze;ch;1
k_aki;rz;1
_omąto;ch;1
_prząż;u;1
_ołota;h;1
moździe_;rz;1
_elazko;ż;1
m_onki;rz;1
we_ikuł;h;1
ż_łw;ó;1
_iperbola;h;1
_walipięta;ch;1
_arcerz;h;1
je_;ż;1
wr_żka;ó;1
dru_na;h;1
_oryzont;h;1
_yletka;ż;1
czteros_w;u;1
st_ykawka;rz;1
stru_ka;ż;1
nerw_s;u;1
leniu_;ch;1
olb_ym;rz;1
_rząszcz;ch;1
w_os;rz;1